GAME001,System,Start Game,2025-11-27T11:58:44,N/A,N/A,N/A,N/A,N/A
GAME001,System,Load File,2025-11-27T11:58:50,N/A,N/A,N/A,N/A,N/A
GAME001,System,Select Player Count,2025-11-27T12:00:03,null,0,2,N/A,0,
GAME001,john,Enter Player Name,2025-11-27T12:00:03,null,0,john,N/A,0,
GAME001,light,Enter Player Name,2025-11-27T12:00:03,null,0,light,N/A,0,
GAME001,john,Select Category,2025-11-27T12:00:04,Variables & Data Types,300,2,Correct,300,
GAME001,john,Select Question,2025-11-27T12:00:05,Variables & Data Types,300,2,Correct,300,
GAME001,john,Answer Question,2025-11-27T12:00:08,Variables & Data Types,300,2,Correct,300,
GAME001,light,Select Category,2025-11-27T12:00:13,Control Structures,300,do-while,Correct,300,
GAME001,light,Select Question,2025-11-27T12:00:14,Control Structures,300,do-while,Correct,300,
GAME001,light,Answer Question,2025-11-27T12:00:18,Control Structures,300,do-while,Correct,300,
GAME001,System,Generate Report,2025-11-27T12:00:27,N/A,N/A,N/A,N/A,N/A
GAME001,System,Generate Event Log,2025-11-27T12:00:37,N/A,N/A,N/A,N/A,N/A
GAME001,System,Exit Game,2025-11-27T12:00:37,N/A,N/A,N/A,N/A,N/A
